reader,dataset,retriever,track,n,errors,gold,gold_lo,gold_hi,poison,poison_lo,poison_hi,abstain,abstain_lo,abstain_hi,drift,drift_lo,drift_hi
gpt4omini,wiki2,colbert,clean,2696,94,0.12722551928783382,0.1150,0.1398,0.0025964391691394658,0.0007,0.0048,0.7477744807121661,0.7318,0.7645,0.12240356083086053,0.1102,0.1358
gpt4omini,wiki2,colbert,attack,2696,802,0.06787833827893175,0.0586,0.0779,0.18694362017804153,0.1721,0.2022,0.6476261127596439,0.6295,0.6658,0.09755192878338279,0.0864,0.1094
qwen7b,hotpot_nq,e5ce,clean,2982,0,0.30617035546613014,0.2894,0.3223,0.002347417840375587,0.0007,0.0044,0.42689470154258885,0.4085,0.4447,0.26458752515090544,0.2495,0.2807
qwen7b,hotpot_nq,e5ce,attack,2982,0,0.21428571428571427,0.2005,0.2294,0.16230717639168343,0.1486,0.1757,0.36653252850435947,0.3484,0.3843,0.25687458081824277,0.2421,0.2726
qwen7b,hotpot_nq,e5ce,forced,2982,0,0.12206572769953052,0.1107,0.1341,0.17538564721663313,0.1623,0.1895,0.5087189805499664,0.4906,0.5268,0.1938296445338699,0.1797,0.2079
qwen7b,hotpot_nq,colbert,clean,2982,0,0.2790073775989269,0.2632,0.2951,0.00335345405767941,0.0013,0.0057,0.4584171696847753,0.4406,0.4752,0.2592219986586184,0.2445,0.2746
qwen7b,hotpot_nq,colbert,attack,2982,0,0.1938296445338699,0.1794,0.2072,0.16700201207243462,0.1539,0.1801,0.3853118712273642,0.3675,0.4021,0.25385647216633134,0.2384,0.2686
qwen7b,hotpot_nq,colbert,forced,2982,0,0.11971830985915492,0.1080,0.1311,0.17773306505700873,0.1636,0.1918,0.5080482897384306,0.4896,0.5258,0.19450033534540576,0.1808,0.2082
qwen7b,trivia,e5ce,clean,1398,0,0.18097281831187412,0.1609,0.2024,0.000715307582260372,0.0000,0.0021,0.6115879828326181,0.5858,0.6381,0.2067238912732475,0.1860,0.2282
qwen7b,trivia,e5ce,attack,1398,0,0.11731044349070101,0.1009,0.1352,0.11158798283261803,0.0951,0.1280,0.5600858369098712,0.5343,0.5858,0.21101573676680974,0.1903,0.2332
qwen7b,trivia,e5ce,forced,1398,0,0.034334763948497854,0.0250,0.0443,0.11731044349070101,0.1009,0.1345,0.7238912732474965,0.7010,0.7468,0.12446351931330472,0.1073,0.1423
qwen7b,trivia,colbert,clean,1398,0,0.1680972818311874,0.1488,0.1888,0.0,0.0000,0.0000,0.6366237482117311,0.6130,0.6624,0.19527896995708155,0.1745,0.2175
qwen7b,trivia,colbert,attack,1398,0,0.11516452074391989,0.0987,0.1323,0.12804005722460657,0.1109,0.1452,0.5565092989985694,0.5308,0.5808,0.20028612303290416,0.1795,0.2210
qwen7b,trivia,colbert,forced,1398,0,0.034334763948497854,0.0250,0.0443,0.11802575107296137,0.1023,0.1359,0.723175965665236,0.6989,0.7468,0.12446351931330472,0.1066,0.1431
qwen7b,wiki2,e5ce,clean,2696,0,0.08864985163204747,0.0779,0.0994,0.0025964391691394658,0.0007,0.0048,0.7596439169139466,0.7437,0.7756,0.14910979228486648,0.1358,0.1632
qwen7b,wiki2,e5ce,attack,2696,0,0.09421364985163205,0.0827,0.1061,0.0830860534124629,0.0731,0.0935,0.6928783382789317,0.6751,0.7107,0.1298219584569733,0.1176,0.1424
qwen7b,wiki2,e5ce,forced,2696,0,0.06862017804154302,0.0590,0.0779,0.057863501483679525,0.0490,0.0671,0.7911721068249258,0.7745,0.8056,0.08234421364985163,0.0720,0.0938
qwen7b,wiki2,colbert,clean,2696,0,0.07344213649851632,0.0642,0.0835,0.001483679525222552,0.0004,0.0030,0.7848664688427299,0.7693,0.8008,0.14020771513353117,0.1272,0.1539
qwen7b,wiki2,colbert,attack,2696,0,0.07455489614243324,0.0649,0.0838,0.07974777448071217,0.0697,0.0905,0.7255192878338279,0.7085,0.7418,0.1201780415430267,0.1083,0.1324
qwen7b,wiki2,colbert,forced,2696,0,0.06862017804154302,0.0590,0.0786,0.05749258160237389,0.0490,0.0664,0.7922848664688428,0.7767,0.8071,0.08160237388724036,0.0712,0.0924
